Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Jenjang Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income,no_income
1989,5,120074,4,4,1,3,4,1,1,0,0,30,38,0,0,0
1994,2,177596,5,6,0,12,1,1,0,0,0,36,38,0,0,0
1991,2,287908,5,6,1,6,4,2,1,0,0,50,38,1,1,0
1999,2,212302,5,6,4,4,1,1,0,0,0,40,38,1,0,0
2002,2,189888,4,4,1,5,4,1,1,0,0,45,38,0,0,0
1985,2,187098,11,9,1,1,3,1,0,15024,0,47,38,0,1,0
1989,2,30565,4,4,1,12,3,1,0,0,0,40,38,1,1,0
1977,4,483596,4,4,1,1,4,1,1,2885,0,32,38,0,0,0
1961,3,27653,4,4,1,10,4,1,1,0,0,35,38,2,0,0
2003,5,218445,5,6,0,4,5,1,0,0,0,40,24,0,0,0
1967,5,198145,9,8,1,11,4,1,1,0,0,14,38,3,1,0
1992,3,70985,4,4,1,10,4,1,1,4064,0,40,38,1,0,0
1985,2,160402,5,6,3,1,0,1,1,0,0,38,38,3,0,0
1971,2,126977,4,4,4,9,0,1,1,0,0,35,38,2,0,0
1994,2,101283,5,6,0,12,0,1,0,0,0,40,38,0,0,0
1985,2,121468,8,7,0,1,5,3,0,0,0,35,38,0,0,0
2001,2,161708,8,7,0,12,5,1,0,0,0,30,38,0,0,0
2005,2,188669,5,6,0,5,5,1,0,0,0,25,38,0,0,0
1970,2,95329,5,6,3,5,5,1,1,0,0,50,38,3,0,0
1996,2,167336,5,6,0,1,0,1,0,10520,0,40,38,0,1,0
1979,2,189802,5,6,3,4,0,1,0,0,0,40,38,0,0,0
2002,2,162667,4,4,0,8,5,1,1,0,0,50,30,0,0,0
1965,2,159724,9,8,1,5,4,1,1,7298,0,55,38,2,1,0
1997,2,196044,5,6,1,9,4,1,1,0,0,60,38,2,0,0
1961,2,174018,5,6,1,5,4,2,1,0,0,40,38,1,1,0
1978,2,146919,4,4,4,5,0,1,0,0,0,40,38,1,0,0
1980,2,403782,7,5,3,5,0,1,1,0,0,45,38,3,0,0
1988,2,268620,5,6,1,1,3,1,0,0,0,33,38,2,0,0
1981,2,122473,2,2,0,7,1,2,0,0,625,40,38,0,0,0
1998,2,157617,4,4,1,9,4,1,1,0,0,40,29,1,0,0
1966,2,119558,4,4,1,1,4,1,1,0,0,50,38,3,1,0
1988,2,137527,8,7,0,4,0,1,0,0,0,50,38,0,0,0
1996,2,150296,6,5,0,12,0,1,0,0,0,80,38,0,0,0
1973,2,355954,5,6,1,9,4,1,1,0,0,60,38,0,1,0
1993,2,163594,4,4,0,5,0,1,0,0,0,45,38,0,0,0
2003,2,197747,5,6,0,5,5,1,0,0,0,24,38,0,0,0
1978,3,102308,8,7,1,5,4,1,1,0,2415,40,38,1,1,0
1989,2,167062,4,4,1,4,4,1,1,0,0,40,38,1,0,0
1967,2,36990,4,4,1,9,4,2,1,0,0,52,38,1,0,0
1983,2,239833,4,4,1,6,1,2,1,0,0,50,38,0,0,0
2000,2,122272,8,7,0,10,5,1,0,0,0,40,38,0,0,0
1996,2,213152,8,7,1,4,4,1,1,0,0,40,38,3,1,0
1972,5,231166,7,5,1,1,4,1,1,0,0,40,38,1,0,0
1970,2,53833,4,4,1,7,4,1,1,0,0,40,38,1,1,0
1972,2,108211,2,2,1,7,4,1,1,0,0,40,38,3,0,0
1980,3,277783,9,8,0,10,5,1,1,0,0,99,38,0,0,0
1994,2,123397,4,4,0,8,1,1,0,0,0,40,38,0,0,0
1987,5,334314,4,4,3,4,1,1,0,0,0,40,38,3,0,0
1986,2,35429,4,4,1,8,4,1,1,0,2042,40,38,1,0,0
1993,3,216283,6,5,1,12,3,1,0,0,0,35,38,0,1,0
1966,3,331474,4,4,1,4,3,1,0,0,0,20,38,2,1,0
1985,5,175232,5,6,1,8,4,1,1,0,1977,60,38,1,1,0
1987,2,151835,11,9,1,5,4,1,1,0,0,45,38,3,1,0
2001,5,282579,7,5,3,3,0,1,1,0,0,56,38,0,0,0
1998,2,239043,3,3,0,12,0,1,1,0,0,40,38,0,0,0
1981,2,191814,6,5,1,5,4,1,1,7688,0,50,38,2,1,0
1991,3,175502,8,7,1,2,4,1,1,0,0,60,38,3,0,0
1988,2,169469,5,6,1,1,4,1,1,7298,0,40,38,0,1,0
1978,2,197332,9,8,1,2,4,1,1,7688,0,46,38,0,1,0
1979,2,160724,4,4,1,9,4,3,1,0,0,40,40,2,0,0
1978,5,165484,6,5,1,1,4,1,1,0,0,44,38,3,1,0
1998,2,200681,4,4,0,7,5,1,1,0,0,40,38,0,0,0
1993,2,213750,5,6,0,5,0,1,1,0,0,45,38,0,0,0
1980,2,182616,7,5,1,3,4,1,1,0,0,40,38,1,1,0
1990,2,434292,4,4,1,12,4,2,1,0,0,30,38,2,0,0
1983,5,132551,9,8,3,2,1,1,0,0,0,35,38,3,0,0
1998,2,118497,4,4,1,9,4,1,1,0,0,60,38,2,0,0
1981,2,196545,8,7,1,7,4,1,1,0,1902,40,38,2,1,0
1960,3,36960,4,4,1,10,4,1,1,0,0,40,38,1,1,0
2001,2,245302,5,6,3,5,5,2,0,0,0,40,38,2,0,0
1975,2,543922,4,4,1,9,4,1,1,0,0,42,38,3,1,0
2001,2,96585,4,4,0,8,0,1,1,0,0,30,38,0,0,0
1993,5,181824,8,7,1,2,3,1,0,0,1902,35,38,3,1,0
1980,5,151089,4,4,1,7,4,1,1,0,0,40,38,0,0,0
2006,2,205894,3,3,0,5,5,1,1,0,0,15,38,0,0,0
2002,2,219941,5,6,0,5,5,2,1,0,0,40,38,0,0,0
1969,2,256953,4,4,2,7,1,2,0,0,0,44,38,1,0,0
2002,2,162869,5,6,0,5,2,1,1,0,0,65,38,0,0,0
1980,2,313022,7,5,1,1,4,2,1,0,0,40,38,1,1,0
1968,3,157486,3,3,3,5,5,1,1,0,0,40,38,2,0,0
1958,2,340734,4,4,1,5,4,1,1,0,0,40,38,2,0,0
1999,2,282063,2,2,1,8,4,1,1,0,0,40,24,2,0,0
1986,5,72338,4,4,1,11,4,3,1,0,0,54,38,3,1,0
1968,2,204816,5,6,1,1,4,1,1,0,0,40,38,2,1,0
2006,2,761006,3,3,0,12,5,1,0,0,0,20,38,0,0,0
2002,2,305466,4,4,0,8,0,1,1,0,0,40,38,0,0,0
1966,2,205410,4,4,1,9,4,1,1,0,0,40,38,3,0,0
1965,2,175689,5,6,1,4,3,1,0,0,0,14,4,0,1,0
1984,2,140559,4,4,1,13,3,1,0,0,0,45,38,1,0,0
2006,2,437851,5,6,0,13,5,1,1,0,0,40,38,0,0,0
1995,2,82393,4,4,1,12,5,3,1,0,0,25,28,3,0,0
1989,2,193106,4,4,4,4,1,1,0,0,0,32,38,1,0,0
1975,4,125892,9,8,1,1,4,1,1,0,0,50,38,2,1,0
1998,5,287233,8,7,1,2,3,2,0,0,0,40,38,2,1,0
1994,2,30290,4,4,0,7,0,1,0,0,0,40,38,0,0,0
1987,2,260093,4,4,0,4,1,2,0,0,0,40,38,0,0,0
1987,2,120590,4,4,1,9,4,1,1,0,0,45,38,0,1,0
1994,2,196385,5,6,1,9,4,1,1,0,0,45,38,2,1,0
1967,2,71367,4,4,3,12,1,1,0,0,0,40,38,2,0,0
1988,2,175759,8,7,1,1,4,1,1,7298,0,50,38,1,1,0
1982,2,154374,8,7,1,1,4,1,1,0,2415,60,38,3,1,0
1987,2,105803,4,4,1,9,4,1,1,3103,0,45,38,3,1,0
1994,5,111883,5,6,0,2,0,1,1,0,0,40,38,0,0,0
1992,5,159247,9,8,1,2,4,1,1,0,0,50,38,3,0,0
1980,2,265266,3,3,1,6,4,1,1,0,0,40,38,3,0,0
2000,2,172496,8,7,0,3,0,1,1,0,0,55,38,0,0,0
1973,2,110458,8,7,4,2,0,1,1,0,0,40,38,1,0,0
1984,3,199303,8,7,1,2,4,1,1,0,0,40,38,1,0,0
1994,3,288419,1,1,1,2,4,1,1,0,0,40,24,3,0,0
1971,2,303462,4,4,1,7,4,1,1,0,0,30,38,1,0,0
1995,2,87905,4,4,3,12,0,1,1,10520,0,40,38,0,1,0
1986,2,112561,8,7,1,1,4,1,1,0,0,55,38,3,1,0
1999,2,219987,6,5,1,1,4,1,1,0,0,13,38,0,0,0
1971,5,321770,4,4,1,6,2,1,0,0,0,35,38,0,0,0
1949,3,309955,11,9,1,2,4,1,1,0,2174,50,38,1,1,0
1981,5,147328,9,8,1,1,4,1,1,0,1977,60,38,3,1,0
