Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Jenjang Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income,no_income
1976,3,246891,9,8,0,3,0,1,0,0,0,60,0,0.0,0,0
1983,0,107584,2,2,0,6,0,1,0,0,0,40,0,0.0,0,0
1981,3,240170,0,0,0,0,0,1,0,0,0,50,2,2.0,0,0
1995,0,81648,2,2,0,4,0,1,0,0,1887,55,0,3.0,1,0
1999,1,249214,3,3,1,7,2,2,1,0,0,40,0,0.0,0,0
1978,0,695411,2,2,1,7,1,1,1,0,0,44,0,3.0,0,0
1990,0,267352,5,5,1,1,1,1,0,0,0,30,0,0.0,0,0
1997,1,46442,0,0,1,2,1,1,1,0,0,35,0,0.0,0,0
1960,0,75577,6,6,0,7,0,1,0,2580,0,50,0,3.0,0,0
1977,2,116927,2,2,0,0,0,1,0,0,0,42,0,2.0,1,0
2006,0,157131,2,2,1,1,3,1,1,0,0,12,0,0.0,0,0
1971,3,174102,6,6,0,0,0,1,0,4386,0,50,6,3.0,1,0
1983,1,176716,2,2,0,2,0,1,0,0,0,60,0,0.0,0,0
1995,0,301031,2,2,0,2,0,2,0,0,0,40,0,2.0,0,0
1980,0,171424,0,0,0,1,0,1,0,0,0,40,0,1.0,1,0
1990,0,216864,2,2,1,5,2,1,1,0,3770,45,0,0.0,0,0
1978,1,97863,7,4,0,7,0,1,0,5178,0,40,0,1.0,1,0
1987,0,305597,0,0,0,1,0,1,0,0,0,45,0,3.0,1,0
1989,0,255702,2,2,1,5,3,1,1,0,0,27,0,0.0,0,0
1990,0,52537,2,2,1,2,2,2,0,0,0,30,0,0.0,0,0
1996,0,161538,0,0,1,2,1,1,1,0,0,35,0,0.0,0,0
1980,1,96249,3,3,0,0,0,1,0,3411,0,40,0,2.0,0,0
2003,0,85088,3,3,1,5,3,1,1,0,0,37,0,0.0,0,0
1983,0,331651,9,8,0,0,4,1,1,0,0,50,7,0.0,1,0
1980,0,182370,2,2,0,3,0,1,0,0,0,40,0,1.0,0,0
1990,0,258170,2,2,1,0,2,1,1,0,0,38,0,1.0,0,0
1986,3,108947,3,3,0,6,0,1,0,7688,0,40,0,0.0,1,0
1991,3,177828,2,2,1,3,1,1,0,0,0,50,0,1.0,0,0
1978,0,28225,3,3,0,2,0,1,0,0,0,58,0,1.0,0,0
1965,1,93211,0,0,0,0,4,1,1,0,0,22,0,2.0,1,0
1979,1,331482,4,4,2,2,3,1,0,0,0,40,0,0.0,0,0
1995,0,174163,3,3,1,0,1,1,1,0,0,40,0,0.0,0,0
1967,0,548256,5,5,0,7,0,2,0,0,0,40,0,1.0,0,0
1998,0,290286,2,2,1,3,1,2,0,0,0,40,0,0.0,0,0
2001,3,184370,2,2,1,5,1,1,1,0,0,40,0,3.0,0,0
1997,0,161683,5,5,0,6,0,1,0,0,0,42,0,1.0,0,0
1991,0,594187,1,1,0,1,0,1,0,0,0,45,0,2.0,1,0
1986,0,204756,2,2,1,4,3,1,1,0,0,40,0,0.0,0,0
1992,0,169841,3,3,1,4,1,1,1,0,0,55,0,3.0,0,0
1993,0,112062,0,0,1,1,1,1,1,0,0,40,0,0.0,0,0
1999,1,257064,3,3,0,7,0,2,0,0,0,38,0,1.0,0,0
1965,1,48102,1,1,1,1,1,1,1,0,0,40,0,0.0,1,0
1994,0,208668,4,4,1,1,1,2,1,0,0,25,0,0.0,0,0
1992,1,119033,2,2,0,2,0,1,0,0,0,40,0,2.0,1,0
1985,0,103710,2,2,1,4,2,1,1,0,0,60,0,0.0,0,0
1978,0,188293,2,2,1,7,1,1,1,0,0,40,0,0.0,0,0
1982,1,159931,0,0,0,1,4,1,1,0,0,45,0,2.0,1,0
1983,0,211731,3,3,1,7,1,1,1,0,0,40,4,0.0,0,0
1975,1,105586,7,4,0,3,0,3,0,0,0,40,0,1.0,1,0
2005,0,219189,5,5,1,5,3,1,0,0,0,25,0,0.0,0,0
1999,0,63062,3,3,1,2,3,1,0,0,0,60,0,0.0,0,0
2000,0,24243,2,2,1,3,1,1,0,0,1590,40,0,0.0,0,0
1983,1,343079,0,0,0,1,4,1,1,0,1740,20,0,2.0,0,0
1966,0,223400,4,4,0,2,5,1,1,0,0,35,1,3.0,0,0
1985,0,138192,0,0,0,3,0,1,0,0,0,40,0,2.0,1,0
1977,1,148171,10,9,1,1,2,1,0,0,0,50,8,1.0,1,0
1995,0,184078,2,2,1,5,5,1,1,0,0,40,0,0.0,0,0
1988,0,193026,0,0,0,4,0,1,0,0,0,40,0,3.0,1,0
1974,0,180522,3,3,1,2,1,1,0,0,0,38,0,0.0,0,0
1999,3,217030,2,2,1,5,2,1,1,0,0,30,0,0.0,0,0
2004,0,85041,3,3,1,0,3,1,1,0,0,20,0,0.0,0,0
1983,0,118212,0,0,0,3,0,1,0,3103,0,40,0,0.0,1,0
1988,0,76417,2,2,0,3,0,1,0,0,0,52,0,1.0,0,0
1959,2,210381,0,0,0,0,0,1,0,99999,0,65,0,3.0,1,0
1989,0,207066,0,0,1,4,1,1,0,10520,0,45,0,0.0,1,0
1971,3,98829,0,0,0,1,0,1,0,0,0,50,0,0.0,0,0
1975,0,122066,2,2,0,0,0,1,0,0,0,30,9,0.0,0,0
1981,0,133584,3,3,0,6,0,1,0,0,0,40,0,1.0,0,0
1966,2,181974,10,9,1,1,1,1,1,0,0,99,0,0.0,0,0
1997,0,217200,3,3,1,1,1,1,0,0,0,40,0,0.0,0,0
1967,3,327901,5,5,0,3,0,1,0,0,0,40,0,1.0,0,0
2000,0,182342,0,0,1,4,3,1,0,0,0,40,0,0.0,0,0
1989,0,119006,2,2,3,1,3,1,1,0,0,38,0,0.0,0,0
1981,0,183765,3,3,1,2,1,1,0,0,0,40,0,2.0,1,0
1990,2,314375,3,3,0,4,0,1,0,0,0,60,0,2.0,1,0
1961,3,404547,2,2,0,3,0,1,0,0,0,30,0,0.0,0,0
1964,0,191024,2,2,0,1,0,1,0,0,0,40,0,1.0,0,0
1994,0,203834,0,0,1,1,1,3,1,0,0,50,10,0.0,0,0
2006,0,238867,5,5,1,2,3,1,0,0,1602,40,0,0.0,0,0
1960,3,289741,3,3,0,4,0,1,0,0,0,20,0,1.0,0,0
1987,0,380614,4,4,0,1,4,1,1,0,0,13,0,3.0,1,0
1959,0,117162,7,4,0,1,4,1,1,0,0,56,0,3.0,1,0
1983,2,299813,6,6,0,4,4,1,1,0,0,70,11,3.0,0,0
1985,1,352628,4,4,0,3,4,1,1,0,0,50,0,1.0,1,0
1972,0,163678,2,2,0,2,0,1,0,0,0,55,0,2.0,0,0
1972,3,195462,2,2,0,2,0,1,0,0,0,98,0,1.0,1,0
1970,0,146834,5,5,0,6,0,1,0,0,0,60,0,3.0,0,0
1996,0,48894,2,2,0,7,3,1,1,0,0,40,0,0.0,0,0
2001,1,103588,3,3,1,7,3,1,0,0,0,25,0,0.0,0,0
2006,0,187240,5,5,1,2,3,1,0,0,0,18,0,0.0,0,0
1977,0,22900,2,2,1,5,1,1,1,0,0,40,0,3.0,0,0
1990,0,234537,4,4,1,4,1,1,0,0,0,40,0,1.0,0,0
1984,0,149466,2,2,1,2,1,2,0,0,0,35,0,3.0,0,0
1992,0,116539,0,0,0,0,0,1,0,0,1887,55,0,2.0,1,0
1992,2,78530,3,3,0,0,0,1,0,15024,0,50,0,3.0,1,0
1984,0,238329,0,0,1,4,1,1,1,0,0,45,0,0.0,0,0
1999,0,98283,0,0,1,1,3,3,0,0,0,40,0,0.0,0,0
1993,0,211334,3,3,0,3,0,1,0,2407,0,65,0,0.0,0,0
1982,0,384508,5,5,1,4,2,1,0,1506,0,50,4,1.0,0,0
1968,1,143931,0,0,3,1,1,1,1,0,0,40,0,1.0,0,0
1997,0,255582,2,2,1,6,1,1,1,0,0,40,0,0.0,0,0
1996,0,166320,2,2,1,1,1,1,0,0,0,40,0,0.0,0,0
1987,1,98725,0,0,1,2,3,1,1,0,0,42,0,0.0,0,0
1981,3,193494,9,8,0,1,0,1,0,0,0,60,0,0.0,1,0
2004,0,169184,3,3,1,1,5,2,1,0,0,40,0,0.0,0,0
1960,0,114994,2,2,0,5,0,1,0,0,0,20,0,1.0,0,0
1975,0,194189,6,6,0,2,0,1,0,0,0,40,0,0.0,0,0
1971,0,94081,0,0,0,0,0,1,0,0,0,44,0,2.0,1,0
2006,0,127388,3,3,1,1,3,1,1,0,0,40,0,0.0,0,0
1997,0,333296,0,0,1,5,1,1,0,0,0,30,0,0.0,0,0
1992,0,48520,3,3,0,3,0,1,0,0,0,40,0,0.0,0,0
1970,0,21698,5,5,1,5,2,1,1,0,0,40,0,2.0,0,0
1977,0,359461,0,0,0,3,0,1,0,0,0,40,0,0.0,0,0
1964,3,95445,3,3,0,2,0,1,0,3137,0,46,0,1.0,0,0
2000,0,399449,0,0,1,4,3,1,1,0,0,40,0,0.0,0,0
1990,0,206297,0,0,0,0,0,1,0,0,0,48,0,2.0,1,0
1974,1,24647,3,3,0,7,0,1,0,0,0,40,0,2.0,1,0
1998,0,181920,0,0,0,1,4,1,1,0,0,45,0,0.0,1,0
1965,0,32954,7,4,1,1,1,1,1,0,0,36,0,0.0,0,0
1988,0,124818,2,2,0,6,0,1,0,0,0,40,0,0.0,0,0
1988,0,150601,9,8,0,1,0,1,0,0,0,50,0,1.0,0,0
1982,0,337629,5,5,0,3,0,2,0,0,0,60,0,3.0,1,0
1992,1,213389,3,3,1,2,2,1,1,0,1726,38,0,2.0,0,0
1984,0,70539,3,3,0,4,0,1,0,4386,0,50,0,0.0,0,0
1971,1,124094,2,2,0,3,0,1,0,5013,0,35,0,3.0,0,0
1999,0,210095,8,7,1,1,2,1,1,0,0,25,12,0.0,0,0
1983,1,235951,9,8,0,1,0,1,0,0,0,50,0,1.0,1,0
1978,0,144351,1,1,0,1,0,1,0,0,0,40,0,2.0,1,0
1994,0,189759,0,0,1,4,1,1,0,0,0,40,0,0.0,0,0
1977,0,139268,2,2,0,2,0,1,0,0,0,40,0,2.0,0,0
2001,0,218343,4,4,1,4,3,1,1,0,0,40,0,0.0,0,0
2000,0,177287,3,3,1,2,3,1,1,0,0,30,0,0.0,0,0
2006,0,214989,3,3,1,1,3,1,1,0,1602,24,0,0.0,0,0
1972,0,29658,2,2,0,7,0,1,0,0,0,40,0,3.0,0,0
1978,1,212120,7,4,0,7,0,1,0,0,0,40,0,3.0,1,0
1961,1,379940,0,0,0,1,0,1,0,0,0,40,0,0.0,1,0
1988,0,182074,3,3,1,7,1,1,0,0,0,45,0,1.0,0,0
1978,0,106255,3,3,0,3,0,1,0,0,0,40,0,0.0,0,0
2005,0,181546,3,3,1,7,3,1,1,0,0,40,0,0.0,0,0
1973,0,138847,0,0,0,0,0,1,0,0,0,40,0,2.0,1,0
1993,0,120672,5,5,2,2,5,2,0,0,1721,40,0,3.0,0,0
2001,0,263899,2,2,1,1,3,2,0,0,0,12,13,0.0,0,0
1980,0,206878,2,2,1,4,5,1,1,0,0,15,0,0.0,0,0
1989,0,65876,2,2,0,3,0,1,0,0,0,40,0,0.0,0,0
1989,0,177121,2,2,1,5,1,1,1,0,0,35,0,1.0,0,0
1990,0,27380,0,0,0,2,0,1,0,0,0,50,0,1.0,1,0
1977,2,332355,1,1,0,0,0,1,0,15024,0,50,0,1.0,1,0
1966,0,158611,2,2,0,1,0,1,0,0,0,50,0,3.0,0,0
1974,0,73493,3,3,1,5,1,1,1,0,0,40,0,1.0,0,0
1993,0,339482,8,7,0,6,0,1,0,0,0,40,4,3.0,0,0
1998,0,233777,2,2,0,6,0,1,0,0,0,40,0,1.0,1,0
1986,0,48779,3,3,0,2,0,1,0,0,0,40,0,2.0,1,0
1986,0,179579,2,2,1,1,1,1,0,0,0,40,0,0.0,0,0
2003,0,273403,7,4,1,5,1,1,1,0,0,50,0,0.0,0,0
1998,0,44308,0,0,1,2,1,1,0,0,0,40,0,0.0,0,0
2006,0,39529,5,5,1,5,3,1,1,0,0,32,0,0.0,0,0
1995,0,134890,7,4,0,2,0,1,0,0,0,40,0,2.0,1,0
1996,0,112403,2,2,1,3,2,1,0,2354,0,40,0,0.0,0,0
1986,0,359001,7,4,0,1,0,1,0,0,0,42,0,1.0,0,0
1997,0,292472,3,3,1,3,1,3,0,0,1876,45,14,0.0,0,0
1979,2,40666,9,8,0,1,0,1,0,0,0,55,0,1.0,1,0
1974,0,104501,2,2,0,3,0,1,0,0,0,40,0,0.0,1,0
1966,1,310085,5,5,0,2,0,1,0,0,0,40,0,1.0,0,0
1951,1,127858,3,3,3,2,1,1,1,3273,0,40,0,2.0,0,0
1989,0,120074,2,2,0,1,0,1,0,0,0,30,0,0.0,0,0
1994,0,177596,3,3,1,5,2,1,1,0,0,36,0,0.0,0,0
1991,0,287908,3,3,0,2,0,2,0,0,0,50,0,1.0,1,0
1999,0,212302,3,3,1,7,2,1,1,0,0,40,0,1.0,0,0
2002,0,189888,2,2,0,4,0,1,0,0,0,45,0,0.0,0,0
1985,0,187098,9,8,0,0,4,1,1,15024,0,47,0,0.0,1,0
1989,0,30565,2,2,0,5,4,1,1,0,0,40,0,1.0,1,0
1977,2,483596,2,2,0,0,0,1,0,2885,0,32,0,0.0,0,0
1961,3,27653,2,2,0,2,0,1,0,0,0,35,0,2.0,0,0
2003,1,218445,3,3,1,7,3,1,1,0,0,40,4,0.0,0,0
1967,1,198145,1,1,0,2,0,1,0,0,0,14,0,3.0,1,0
1992,3,70985,2,2,0,2,0,1,0,4064,0,40,0,1.0,0,0
1985,0,160402,3,3,1,0,1,1,0,0,0,38,0,3.0,0,0
1971,0,126977,2,2,1,3,1,1,0,0,0,35,0,2.0,0,0
1994,0,101283,3,3,1,5,1,1,1,0,0,40,0,0.0,0,0
1985,0,121468,0,0,1,0,3,3,1,0,0,35,0,0.0,0,0
2001,0,161708,0,0,1,5,3,1,1,0,0,30,0,0.0,0,0
2005,0,188669,3,3,1,4,3,1,1,0,0,25,0,0.0,0,0
1970,0,95329,3,3,2,1,3,1,0,0,0,50,0,0.0,0,0
1996,0,167336,3,3,1,0,1,1,1,10520,0,40,0,0.0,1,0
1979,0,189802,3,3,1,7,1,1,1,0,0,40,0,0.0,0,0
2002,0,162667,2,2,1,2,3,1,0,0,0,50,15,0.0,0,0
1965,0,159724,1,1,0,4,0,1,0,7298,0,55,0,2.0,1,0
1997,0,196044,3,3,0,3,0,1,0,0,0,60,0,2.0,0,0
1961,0,174018,3,3,0,4,0,2,0,0,0,40,0,1.0,1,0
1978,0,146919,2,2,1,4,1,1,1,0,0,40,0,1.0,0,0
1980,0,403782,7,4,1,4,1,1,0,0,0,45,0,3.0,0,0
1988,0,268620,3,3,0,0,4,1,1,0,0,33,0,2.0,0,0
1981,0,122473,6,6,1,6,2,2,1,0,625,40,0,0.0,0,0
1998,0,157617,2,2,0,3,0,1,0,0,0,40,1,1.0,0,0
1966,0,119558,2,2,0,0,0,1,0,0,0,50,0,3.0,1,0
1988,0,137527,0,0,1,7,1,1,1,0,0,50,0,0.0,0,0
1996,0,150296,4,4,1,5,1,1,1,0,0,80,0,0.0,0,0
1973,0,355954,3,3,0,3,0,1,0,0,0,60,0,0.0,1,0
1993,0,163594,2,2,1,4,1,1,1,0,0,45,0,0.0,0,0
2003,0,197747,3,3,1,4,3,1,1,0,0,24,0,0.0,0,0
1978,3,102308,0,0,0,4,0,1,0,0,2415,40,0,1.0,1,0
1989,0,167062,2,2,0,7,0,1,0,0,0,40,0,1.0,0,0
1967,0,36990,2,2,0,3,0,2,0,0,0,52,0,1.0,0,0
1983,0,239833,2,2,0,2,2,2,0,0,0,50,0,0.0,0,0
2000,0,122272,0,0,1,2,3,1,1,0,0,40,0,0.0,0,0
1996,0,213152,0,0,0,7,0,1,0,0,0,40,0,3.0,1,0
1972,1,231166,7,4,0,0,0,1,0,0,0,40,0,1.0,0,0
1970,0,53833,2,2,0,6,0,1,0,0,0,40,0,1.0,1,0
1972,0,108211,6,6,0,1,0,1,0,0,0,40,0,3.0,0,0
1980,3,277783,1,1,1,2,3,1,0,0,0,99,0,0.0,0,0
1994,0,123397,2,2,1,2,2,1,1,0,0,40,0,0.0,0,0
1987,1,334314,2,2,1,7,2,1,1,0,0,40,0,3.0,0,0
1986,0,35429,2,2,0,2,0,1,0,0,2042,40,0,1.0,0,0
1993,3,216283,4,4,0,5,4,1,1,0,0,35,0,0.0,1,0
1966,3,331474,2,2,0,7,4,1,1,0,0,20,0,2.0,1,0
1985,1,175232,3,3,0,2,0,1,0,0,1977,60,0,1.0,1,0
1987,0,151835,9,8,0,4,0,1,0,0,0,45,0,3.0,1,0
2001,1,282579,7,4,1,2,1,1,0,0,0,56,0,0.0,0,0
1998,0,239043,5,5,1,5,1,1,0,0,0,40,0,0.0,0,0
1981,0,191814,4,4,0,4,0,1,0,7688,0,50,0,2.0,1,0
1991,3,175502,0,0,0,1,0,1,0,0,0,60,0,3.0,0,0
1988,0,169469,3,3,0,0,0,1,0,7298,0,40,0,0.0,1,0
1978,0,197332,1,1,0,1,0,1,0,7688,0,46,0,0.0,1,0
1979,0,160724,2,2,0,3,0,3,0,0,0,40,16,2.0,0,0
1978,1,165484,4,4,0,0,0,1,0,0,0,44,0,3.0,1,0
1998,0,200681,2,2,1,6,3,1,0,0,0,40,0,0.0,0,0
1993,0,213750,3,3,1,4,1,1,0,0,0,45,0,0.0,0,0
1980,0,182616,7,4,0,2,0,1,0,0,0,40,0,1.0,1,0
1990,0,434292,2,2,0,5,0,2,0,0,0,30,0,2.0,0,0
1983,1,132551,1,1,1,1,2,1,1,0,0,35,0,3.0,0,0
1998,0,118497,2,2,0,3,0,1,0,0,0,60,0,2.0,0,0
1981,0,196545,0,0,0,6,0,1,0,0,1902,40,0,2.0,1,0
1960,3,36960,2,2,0,2,0,1,0,0,0,40,0,1.0,1,0
2001,0,245302,3,3,2,4,3,2,1,0,0,40,0,0.0,0,0
1975,0,543922,2,2,0,3,0,1,0,0,0,42,0,3.0,1,0
2001,0,96585,2,2,1,2,1,1,0,0,0,30,0,0.0,0,0
1993,1,181824,0,0,0,1,4,1,1,0,1902,35,0,3.0,1,0
1980,1,151089,2,2,0,6,0,1,0,0,0,40,0,0.0,0,0
2006,0,205894,5,5,1,4,3,1,0,0,0,15,0,0.0,0,0
2002,0,219941,3,3,1,1,3,2,0,0,0,40,0,0.0,0,0
1969,0,256953,2,2,1,6,2,2,1,0,0,44,0,1.0,0,0
2002,0,162869,3,3,1,4,5,1,0,0,0,65,0,0.0,0,0
1980,0,313022,7,4,0,0,0,2,0,0,0,40,0,1.0,1,0
1968,3,157486,5,5,2,4,3,1,0,0,0,40,0,0.0,0,0
1958,0,340734,2,2,0,4,0,1,0,0,0,40,0,2.0,0,0
1999,0,282063,6,6,0,2,0,1,0,0,0,40,4,2.0,0,0
1986,1,72338,2,2,0,2,0,3,0,0,0,54,0,3.0,1,0
1968,0,204816,3,3,0,0,0,1,0,0,0,40,0,2.0,1,0
2006,0,761006,5,5,1,5,3,1,1,0,0,20,0,0.0,0,0
2002,0,305466,2,2,1,2,1,1,0,0,0,40,0,0.0,0,0
1966,0,205410,2,2,0,3,0,1,0,0,0,40,0,3.0,0,0
1965,0,175689,3,3,0,7,4,1,1,0,0,14,17,0.0,1,0
1984,0,140559,2,2,0,2,4,1,1,0,0,45,0,1.0,0,0
2006,0,437851,3,3,1,1,3,1,0,0,0,40,0,0.0,0,0
1995,0,82393,2,2,0,5,3,3,0,0,0,25,18,0.0,0,0
1989,0,193106,2,2,1,7,2,1,1,0,0,32,0,1.0,0,0
1975,2,125892,1,1,0,0,0,1,0,0,0,50,0,2.0,1,0
1998,1,287233,0,0,0,1,4,2,1,0,0,40,0,2.0,1,0
1994,0,30290,2,2,1,6,1,1,1,0,0,40,0,0.0,0,0
1987,0,260093,2,2,1,7,2,2,1,0,0,40,0,0.0,0,0
1987,0,120590,2,2,0,3,0,1,0,0,0,45,0,0.0,1,0
